home_team,away_team,p_home_book,p_draw_book,p_away_book
AS Monaco,Brest,0.5597662184981038,0.23738603683101622,0.20284774467087996
Angers,Nice,0.29336167563564153,0.28895691341777885,0.41768141094657957
Brest,Le Havre,0.49810912092214193,0.26874466095550004,0.23314621812235808
Le Havre,Lyon,0.24034640304676227,0.2753302540414163,0.4843233429118214
Lille,Lorient,0.6232582514555024,0.22836709665420063,0.14837465189029708
Lorient,RC Lens,0.24998908741663692,0.2671128858397708,0.4828980267435922
Lyon,Paris FC,0.5584043703960078,0.2472886030188494,0.19430702658514287
Marseille,Auxerre,0.6427962695903574,0.21366180885095631,0.14354192155868623
Metz,Toulouse,0.25304521795320334,0.28504697514158106,0.4619078069052156
Nice,Rennes,0.34240149039109286,0.2685012730927161,0.38909723651619105
Paris Saint Germain,Nantes,0.6809662333209772,0.19285816012776935,0.12617560655125354
RC Lens,Metz,0.7281420250974042,0.17070145691722524,0.10115651798537052
Rennes,Lille,0.3780214156441446,0.2748224040864952,0.3471561802693601
Strasbourg,Paris FC,0.5479104159841708,0.24750032941509437,0.20458925460073493
