utcDate,matchday,status,homeTeam,awayTeam,homeGoals,awayGoals,winner
2026-08-07T18:00:00Z,1,FINISHED,SC Cambuur-Leeuwarden,SBV Excelsior,0,4,AWAY_TEAM
2026-08-08T14:30:00Z,1,FINISHED,NEC,Telstar 1963,1,2,AWAY_TEAM
2026-08-08T16:45:00Z,1,FINISHED,Go Ahead Eagles,Willem II Tilburg,4,1,HOME_TEAM
2026-08-08T18:00:00Z,1,FINISHED,PSV,Fortuna Sittard,2,2,DRAW
2026-08-08T19:00:00Z,1,FINISHED,AZ,ADO Den Haag,2,0,HOME_TEAM
2026-08-09T10:15:00Z,1,FINISHED,Sparta Rotterdam,Feyenoord Rotterdam,0,1,AWAY_TEAM
2026-08-09T12:30:00Z,1,FINISHED,FC Groningen,FC Utrecht,2,1,HOME_TEAM
2026-08-09T12:30:00Z,1,FINISHED,PEC Zwolle,AFC Ajax,0,2,AWAY_TEAM
2026-08-09T14:45:00Z,1,FINISHED,SC Heerenveen,FC Twente '65,1,0,HOME_TEAM
2026-08-14T18:00:00Z,2,FINISHED,Telstar 1963,Sparta Rotterdam,1,3,AWAY_TEAM
2026-08-15T14:30:00Z,2,FINISHED,Willem II Tilburg,NEC,1,4,AWAY_TEAM
2026-08-15T16:45:00Z,2,FINISHED,FC Utrecht,AZ,1,4,AWAY_TEAM
2026-08-15T18:00:00Z,2,FINISHED,SBV Excelsior,PSV,1,2,AWAY_TEAM
2026-08-15T19:00:00Z,2,FINISHED,Fortuna Sittard,SC Cambuur-Leeuwarden,3,1,HOME_TEAM
2026-08-16T10:15:00Z,2,FINISHED,ADO Den Haag,FC Groningen,1,4,AWAY_TEAM
2026-08-16T12:30:00Z,2,FINISHED,Feyenoord Rotterdam,Go Ahead Eagles,2,2,DRAW
2026-08-16T12:30:00Z,2,FINISHED,FC Twente '65,PEC Zwolle,3,1,HOME_TEAM
2026-08-16T14:45:00Z,2,FINISHED,AFC Ajax,SC Heerenveen,2,2,DRAW
2026-08-22T14:30:00Z,3,FINISHED,Fortuna Sittard,AZ,0,2,AWAY_TEAM
2026-08-22T16:45:00Z,3,FINISHED,Sparta Rotterdam,FC Utrecht,3,3,DRAW
2026-08-22T19:00:00Z,3,FINISHED,SC Heerenveen,PEC Zwolle,0,2,AWAY_TEAM
2026-08-23T10:15:00Z,3,FINISHED,Go Ahead Eagles,ADO Den Haag,3,1,HOME_TEAM
2026-08-23T12:30:00Z,3,FINISHED,PSV,FC Groningen,5,1,HOME_TEAM
2026-08-23T14:45:00Z,3,FINISHED,SC Cambuur-Leeuwarden,Feyenoord Rotterdam,2,5,AWAY_TEAM
