position,team,gp,w,d,l,gf,ga,gd,pts
1,Paris Saint-Germain,34,24,4,6,74,29,45,76
2,Lens,34,22,4,8,66,35,31,70
3,Lille,34,18,7,9,52,37,15,61
4,Lyon,34,18,6,10,53,40,13,60
5,Marseille,34,18,5,11,63,45,18,59
6,Stade Rennais,34,17,8,9,59,50,9,59
7,AS Monaco,34,16,6,12,60,54,6,54
8,Strasbourg,34,15,8,11,58,47,11,53
9,Lorient,34,11,12,11,48,51,-3,45
10,Toulouse,33,12,8,13,47,46,1,44
11,Paris FC,34,11,11,12,47,50,-3,44
12,Brest,34,10,9,15,43,55,-12,39
13,Angers,34,9,9,16,29,48,-19,36
14,Le Havre AC,34,7,14,13,32,44,-12,35
15,AJ Auxerre,34,8,10,16,34,44,-10,34
16,Nice,34,7,11,16,37,60,-23,32
17,Nantes,33,5,8,20,29,52,-23,23
18,Metz,34,3,8,23,32,76,-44,17
