position,team,gp,w,d,l,gf,ga,gd,pts
1,PSV Eindhoven,34,27,3,4,101,45,56,84
2,Feyenoord Rotterdam,34,19,8,7,70,44,26,65
3,NEC Nijmegen,34,16,11,7,77,53,24,59
4,FC Twente,34,15,13,6,59,40,19,58
5,Ajax Amsterdam,34,14,14,6,62,41,21,56
6,FC Utrecht,34,15,8,11,55,42,13,53
7,AZ Alkmaar,34,14,10,10,58,51,7,52
8,Heerenveen,34,14,9,11,57,53,4,51
9,FC Groningen,34,14,6,14,49,45,4,48
10,Sparta Rotterdam,34,12,7,15,40,62,-22,43
11,Fortuna Sittard,34,11,6,17,49,63,-14,39
12,Go Ahead Eagles,34,8,14,12,54,53,1,38
13,Excelsior,34,10,8,16,43,56,-13,38
14,Telstar,34,9,10,15,49,55,-6,37
15,PEC Zwolle,34,9,10,15,44,71,-27,37
16,FC Volendam,34,8,8,18,35,55,-20,32
17,NAC Breda,34,6,11,17,35,58,-23,29
18,Heracles Almelo,34,5,4,25,35,85,-50,19
